id,latitude,longitude,status,place_name,address,description,radius,allow_parking,allow_deployment,current_occupancy,vehicle_types,min_deployment_cap,min_reason,max_deployment_cap,max_parking_cap,threshold,pin_type,image_url,downstream_revenue
YG3D3ZZKGPWTR,35.712744,139.657605,active,中野区野方2丁目個人宅ポート,東京都中野区野方2-16-6,"",15.0,true,true,4,scooter,3,gr,3,4,4,standard,https://limebike-web-public-assets.s3.us-west-1.amazonaws.com/placement_pins/IZKK5ROIGFEHW6MU,0.19725
Q2DPI7CXGSQJR,35.613128,139.737262,active,南品川４丁目個人宅,東京都品川区南品川4-11-2,"",15.0,true,true,6,scooter,4,gr,4,6,6,standard,https://limebike-web-public-assets.s3.us-west-1.amazonaws.com/placement_pins/CFDUZQHL5L2WKU5E,0.0
X3WIMJZSK64FR,35.590299,139.733719,active,シティプラザ南大井町,東京都品川区南大井3-16-12,"",50.0,true,true,0,scooter,3,gr,3,4,4,standard,https://limebike-web-public-assets.s3.us-west-1.amazonaws.com/placement_pins/HN4D6JZC2YOT44YZ,4.048613
A2SDNUPYQ4OA4,35.59719,139.740934,active,ラパラッツォ,東京都品川区東大井2-27-22,"",15.0,true,true,8,scooter,5,gr,5,8,8,standard,https://limebike-web-public-assets.s3.us-west-1.amazonaws.com/placement_pins/LLG4TOZVQMPIIO3P,0.0
DBJXKF7OSKFG6,35.618114,139.710718,active,パレス戸越銀座,東京都品川区荏原2-8-9パレス戸越銀座,"",15.0,true,true,2,scooter,2,gr,2,3,3,standard,https://limebike-web-public-assets.s3.us-west-1.amazonaws.com/placement_pins/EWKS53T6ZY6C3VZL,0.0
7X2E6ZRXF5FSS,35.725529,139.82189,active,アイル東京向島第5コインパーキング自販機横,東京都墨田区東向島6-38-16,"",20.0,true,true,6,scooter,4,gr,4,6,6,standard,https://limebike-web-public-assets.s3.us-west-1.amazonaws.com/placement_pins/TA6HVLN36U4Z2DJO,0.0
DN5F34PR7XWCF,35.691333,139.829139,active,大屋駐車場,東京都江東区大島3-20-27,"",15.0,true,true,3,scooter,12,gr,12,19,19,standard,https://limebike-web-public-assets.s3.us-west-1.amazonaws.com/placement_pins/AEHYZVYNU6ONK3OG,0.0
X6EHD6EPY6TEL,35.688399,139.824919,active,江東区大島１丁目ポート,東京都江東区大島1-24-3,"",15.0,true,true,6,scooter,18,gr,18,34,34,standard,https://limebike-web-public-assets.s3.us-west-1.amazonaws.com/placement_pins/VOTMMBDZT2ILI6CW,0.0
RMTRTGLIJBG57,35.644349,139.709843,active,恵比寿南駐車場,東京都渋谷区恵比寿南1-16-3,"",25.0,true,true,5,scooter,7,gr,7,11,11,standard,https://limebike-web-public-assets.s3.us-west-1.amazonaws.com/placement_pins/NFWKEWWGMCNHB5LG,0.0
AR5VRRRM2HINP,35.703607,139.693321,active,北新宿3丁目駐車場,東京都新宿区北新宿3-5-12,"",20.0,true,true,8,scooter,5,gr,5,8,8,standard,https://limebike-web-public-assets.s3.us-west-1.amazonaws.com/placement_pins/57KO6KIZNIGUESWU,0.0
IYKI2URBG2ICJ,35.69383,139.632087,active,パールハウス,東京都杉並区成田西3-7-3パールハウス,"",15.0,true,true,8,scooter,9,gr,9,16,16,standard,https://limebike-web-public-assets.s3.us-west-1.amazonaws.com/placement_pins/VQQVY2MGA4A53NAP,0.0
MR6NIL6TVNQ7L,35.646228,139.674574,active,M-PLACE1駐車場,東京都世田谷区太子堂2-6-37,"",20.0,true,true,1,scooter,4,gr,4,6,6,standard,https://limebike-web-public-assets.s3.us-west-1.amazonaws.com/placement_pins/AAT6PUPCEAKAIHJQ,2.224941
FM5HITT7H7XD5,35.749148,139.735267,active,エスポワール滝野川,東京都北区滝野川1-65-6エスポワール滝野川,"",15.0,true,true,3,scooter,3,gr,3,4,4,standard,https://limebike-web-public-assets.s3.us-west-1.amazonaws.com/placement_pins/RBZKGSXVWA6VENOK,0.0
ZMILOLITZ4MB4,35.74075,139.667041,active,プライム駐車場,東京都練馬区桜台1-26-10,"",15.0,true,true,9,scooter,10,gr,10,18,18,standard,https://limebike-web-public-assets.s3.us-west-1.amazonaws.com/placement_pins/EWARUC7TGCM2TTWJ,0.0
5U7GNDROZXXB2,35.673134,139.733528,active,リベルテ赤坂,東京都港区赤坂4-12-6,"",15.0,true,true,1,scooter,2,gr,2,3,3,standard,https://limebike-web-public-assets.s3.us-west-1.amazonaws.com/placement_pins/DT3326WO5EUE5CJB,2.22666
FNQRTUZPGIJZA,35.728237,139.780546,active,ビルヴィオ東日暮里,東京都荒川区東日暮里4-14-6,"",15.0,true,true,10,scooter,8,gr,8,14,14,standard,https://limebike-web-public-assets.s3.us-west-1.amazonaws.com/placement_pins/C7AIRCF2VO3IEI6K,0.0
YCSNRO7F5TRR5,35.664995,139.701371,active,PREMIUM CUBE G 渋谷神南,東京都渋谷区神南1-3-11,"",25.0,true,true,4,scooter,3,gr,3,4,4,standard,https://limebike-web-public-assets.s3.us-west-1.amazonaws.com/placement_pins/UFE7XA2U2HXXTTB4,0.701547
XZINNTHYKZWXZ,35.647874,139.712265,active,TAMA WOODY GATE EBISU,東京都渋谷区恵比寿1-15-1,"",40.0,true,true,5,scooter,4,gr,4,6,6,standard,https://limebike-web-public-assets.s3.us-west-1.amazonaws.com/placement_pins/OELMKCABL7ZK6ZS4,0.0
MKZ6K53VJRGXO,35.668193,139.708577,active,【三井のリパーク】神宮前4丁目第5ポート,東京都渋谷区神宮前4-21-13,"",30.0,true,true,21,scooter,29,gr,29,56,56,standard,https://limebike-web-public-assets.s3.us-west-1.amazonaws.com/placement_pins/YTTCWXRDH2AV6WUS,1.451773
FYWGXTNY72RTU,35.689485,139.686622,active,西新宿4丁目駐車場 　駐車場内,東京都新宿区西新宿4-11-6,"",15.0,true,true,5,scooter,6,gr,6,10,10,standard,https://limebike-web-public-assets.s3.us-west-1.amazonaws.com/placement_pins/3L47EEAV3FWVGEGI,1.040212
L6EFSYUDMR3XF,35.722794,139.689072,active,ベルシード新宿中落合,東京都新宿区中落合3-16-14,"",20.0,true,true,3,scooter,3,gr,3,5,5,standard,https://limebike-web-public-assets.s3.us-west-1.amazonaws.com/placement_pins/S5GGPLZ72GMRPL5X,0.19647
GXBWYQCZP5QHM,35.712101,139.682681,active,シャルム上落合 階段前スペース,東京都新宿区上落合3-26-18シャルム上落合,"",15.0,true,true,1,scooter,5,gr,5,8,8,standard,https://limebike-web-public-assets.s3.us-west-1.amazonaws.com/placement_pins/R4QD26DDUR5NZTLU,0.0
LHRZHLLMXNOTF,35.708194,139.65414,active,匯金・高円寺ビル　正面左側,東京都杉並区高円寺北2-29-15匯金・高円寺ビル,"",15.0,true,true,6,scooter,4,gr,4,7,7,standard,https://limebike-web-public-assets.s3.us-west-1.amazonaws.com/placement_pins/PVESZP4N6UVS6KPB,0.0
SP6AZEG4DIZOH,35.708181,139.653951,active,匯金・高円寺ビル　奥左側,東京都杉並区高円寺北2-29-15匯金・高円寺ビル,"",15.0,true,true,4,scooter,3,gr,3,4,4,standard,https://limebike-web-public-assets.s3.us-west-1.amazonaws.com/placement_pins/5R37ATZPCZSVSJN3,0.0
HV6CNXPV3QHPX,35.719041,139.608798,active,杉並区今川２丁目駐輪場スペース,東京都杉並区今川2-23-13,"",15.0,true,true,4,scooter,6,gr,6,9,9,standard,https://limebike-web-public-assets.s3.us-west-1.amazonaws.com/placement_pins/NT2IUBOSLCFC3QC5,0.0
VAIIY2EJR7LHD,35.674455,139.651454,active,杉並区和泉２丁目個人宅駐車場スペース,東京都杉並区和泉2-20-17,"",15.0,true,true,6,scooter,5,gr,5,8,8,standard,https://limebike-web-public-assets.s3.us-west-1.amazonaws.com/placement_pins/A2UGQBTFAFHA5FK7,0.0
AQY24QRRXGHBI,35.690942,139.637846,active,成田東１丁目個人宅正面左塀側,東京都杉並区成田東1-27-12,"",15.0,true,true,2,scooter,3,gr,3,5,5,standard,https://limebike-web-public-assets.s3.us-west-1.amazonaws.com/placement_pins/4SUVBU4QPVK6VD5A,0.0
4EQAD5P26PC65,35.705869,139.651076,active,タウンハイツ正面,東京都杉並区高円寺北2-3-9タウンハイツ,"",15.0,true,true,3,scooter,5,gr,5,8,8,standard,https://limebike-web-public-assets.s3.us-west-1.amazonaws.com/placement_pins/5YBNJMC6SH46Q4IQ,0.0
EJVXW7QXRZMZP,35.653062,139.66774,active,【三井のリパーク】代沢4丁目第4ポート,東京都世田谷区代沢4-28-2,"",20.0,true,true,0,scooter,11,gr,11,18,18,standard,https://limebike-web-public-assets.s3.us-west-1.amazonaws.com/placement_pins/IE5WHFCH6Y4HNHUB,0.0
VEQ6CBD3L6QO6,35.624925,139.61394,active,コスモハイツ　右通路,東京都世田谷区岡本3-34-12コスモハイツ,"",15.0,true,true,1,scooter,2,gr,2,3,3,standard,https://limebike-web-public-assets.s3.us-west-1.amazonaws.com/placement_pins/IPYFJ2WBSB2N3PTX,0.0
O7S7EPLIFMUWI,35.651621,139.67765,active,ディム三宿,東京都世田谷区三宿2-2-7,"",15.0,true,true,1,scooter,3,gr,3,4,4,standard,https://limebike-web-public-assets.s3.us-west-1.amazonaws.com/placement_pins/VWU2XVG5KKRFCL2D,0.0
2F4KYCOP25O5S,35.695219,139.780141,active,東神田１丁目ビル,東京都千代田区東神田1-11-5,"",50.0,true,true,3,scooter,3,gr,3,4,4,standard,https://limebike-web-public-assets.s3.us-west-1.amazonaws.com/placement_pins/5MF6R2QEFG6VK6EW,0.0
ETK6VFEVYJY4O,35.721585,139.798445,active,匯金・浅草二号館ビル,東京都台東区浅草5-68-4,"",20.0,true,true,3,scooter,2,gr,2,3,3,standard,https://limebike-web-public-assets.s3.us-west-1.amazonaws.com/placement_pins/QOMERZDNC54FG6MP,0.0
Y4JS4UD4XLBUT,35.566702,139.699795,active,シティプラザ池上,東京都大田区東矢口2-2-2,"",15.0,true,true,3,scooter,2,gr,2,3,3,standard,https://limebike-web-public-assets.s3.us-west-1.amazonaws.com/placement_pins/C4UR7FGYIZD42NYM,0.0
EUITL7H5U3I7V,35.56483,139.689694,active,ロアール武蔵新田,東京都大田区下丸子1-20-10,"",15.0,true,true,4,scooter,5,gr,5,8,8,standard,https://limebike-web-public-assets.s3.us-west-1.amazonaws.com/placement_pins/IX6FCMEHEQLXSHSA,0.0
H3SNN2PETGDDQ,35.583687,139.721313,active,マチカハーズ,東京都大田区山王3-17-3,"",15.0,true,true,2,scooter,3,gr,3,4,4,standard,https://limebike-web-public-assets.s3.us-west-1.amazonaws.com/placement_pins/YUEMZAHLNWYN7UXV,0.0
